name,title,description,creator,youtube_url,template_url,date_posted,resource_url,id
AI Agent with Zep Memory,Unlock the Next Evolution of Agents with Human-like Memory (n8n + zep),"This video demonstrates a complete workflow where an AI agent is built using n8n integrated with Zep for long-term relational memory. The system retrieves and filters user data via HTTP requests and code nodes, combining short-term memory from a PostgreSQL store with a dynamic knowledge graph from Zep. It uses Telegram for session-based interactions and optimizes API token usage with two memory management methods. The workflow, created by Nate Herk, is available as a free template via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=kNsX2qu8jHY,https://drive.google.com/file/d/1-ewG4vHJQ4nRShlO6aPEuq3e1E24H89D/view?usp=drive_link,2025-07-14T14:07:21.000Z,https://www.skool.com/ai-automation-society/new-video-unlock-the-next-evolution-of-agents-with-human-like-memory-n8n-zep,kNsX2qu8jHY
Parallel Workflow Accelerator,Only 1% of n8n Builders Use This Trick (7x faster),"This video by Nate Herk demonstrates an advanced system that leverages parallel execution using subworkflows to drastically improve processing times in automation. It details how to configure parallelization by running workflow nodes individually for each item, discusses technical considerations like API rate limits and error handling, and shows how modular design yields reusable automation components. The free template is available via Nate Herk's community resources.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=qNW9KaLe1nY,https://drive.google.com/file/d/1Ley71JVdGrUo-fwASLo8JYl6kOIuCoS-/view?usp=drive_link,2025-07-09T14:06:34.000Z,https://www.skool.com/ai-automation-society/new-video-only-1-of-n8n-builders-use-this-trick-7x-faster,qNW9KaLe1nY
Podcast Clip Automation,Generate 100s of Viral Podcast TikTok Clips & Reels with This AI System,"This system automates the conversion of long-form podcast episodes into engaging short-form clips for TikTok, Instagram, and YouTube. It’s built entirely in n8n and integrates multiple tools: an RSS feed for scraping, the Visard API for automated video clipping, OpenAI for generating compelling captions, Google Sheets for data logging, and Gmail for notifications. The workflow processes content detection, highlight extraction, and clip generation autonomously. Created by Nick Saraev, this free template provides a complete, ready-to-run solution for social media content repurposing.",Nick Saraev,https://www.youtube.com/watch?v=yueOIxkDig0,https://drive.google.com/file/d/1GSHGp8PUI_7ZV8YXoollecxA7JdOLMt0/view?usp=drive_link,2025-07-02T06:46:01.000Z,https://leftclicker.gumroad.com/l/panag,yueOIxkDig0
AI Resume Screening System,Watch Me Build an AI Resume Analysis System in 28 minutes (no code),"In this tutorial, Nate Herk builds a no-code AI resume analysis system using n8n. The workflow integrates Gmail triggers to capture resumes, uploads and converts files in Google Drive (handling Word docs, PDFs, and text files), extracts content, and leverages an AI agent with OpenAI’s chat model to analyze candidate strengths, weaknesses, risk/reward, and overall fit. The output is structured and then pushed to Google Sheets. A free workflow template is available via his free Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=M0s6O8xtVUE,https://drive.google.com/file/d/1dFPQN0ydpHBKzSHLg31eKA8Tv0GtmW_R/view?usp=drive_link,2025-06-30T17:00:55.000Z,https://www.skool.com/ai-automation-society/new-video-watch-me-build-an-ai-resume-analysis-system-with-no-code-in-n8n,M0s6O8xtVUE
RAG Agents Workflow,n8n Just Leveled Up RAG Agents (Reranking & Metadata),"This system demonstrates a no-code AI agent that enhances vector-based document retrieval with a Cohere-powered re-ranker and metadata filtering. It uses a Superbase vector database to store chunked data and dynamically applies metadata filters for targeted queries. The workflow refines results by reranking returned chunks, ensuring accurate extraction of rule-based content. Developed by Nate Herk, the system is available via a free template in his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=xWhX61651H8,https://drive.google.com/file/d/1ee6skeDuBnYYV_9thU9bCnwYgc1sM-Ii/view?usp=drive_link,2025-06-28T14:52:09.000Z,https://www.skool.com/ai-automation-society/new-video-n8n-just-leveled-up-rag-agents-reranking-metadata,xWhX61651H8
PPC Thievery,can't believe i built a $70k ai creative team in 66mins using only N8N,"This system, created by Nick Saraev, is an end-to-end PPC automation workflow that scrapes high-performing ads from the Facebook Ad Library using an API (via Appify) and then processes the assets with AI. It leverages modules for HTTP requests, Google Drive for file storage and organization, Google Sheets for logging, and OpenAI for image analysis and creative prompt generation. The workflow transforms scraped ad components into customized creative assets. Free template available.",Nick Saraev,https://www.youtube.com/watch?v=GNmlnt52aSM,https://drive.google.com/file/d/1ka5OJF-1NWZdM0aM0VA8lZ9AJYvh2cnP/view?usp=drive_link,2025-06-28T05:30:09.000Z,https://leftclicker.gumroad.com/l/vukup,GNmlnt52aSM
Meeting Prep Automation,This n8n Automation Does ALL My Meeting Prep While I Sleep,"Mark Kashef demonstrates an advanced automation workflow that converts Calendly bookings into tailored AI-generated meeting prep audio files. This system captures booking details and uses the Perplexity API for deep research on both the attendee and their company. It then consolidates insights using OpenAI’s o3-mini for reasoning and text-to-speech for audio generation, before sending a personalized email via Gmail. The free template is available via Gumroad for immediate use.",Mark Kashef,https://www.youtube.com/watch?v=9HBa364RZBk,https://drive.google.com/file/d/1vH6R5eVJJGNTgDB88ZCkfyKqUgrFkY_q/view?usp=drive_link,2025-06-27T18:20:17.000Z,https://bit.ly/4lb7E8k,9HBa364RZBk
YT Strategist Agent,I Built a YT Strategist AI Agent That Makes Me $6k/mo (free template n8n),"This system is a fully automated YouTube strategist workflow built in n8n that scrapes and analyzes YouTube channels to extract top-performing videos from niche channels, analyzes titles for power words, evaluates thumbnails using OpenAI, and aggregates viewer comments for insight. It combines scheduled tasks (weekly and daily) with API integrations via Appify and Google Sheets to generate actionable video ideation and packaging. Developed and demonstrated by Nate Herk, this free template offers a complete guided setup for creating a data-driven content strategy.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=Ch-AWxvX2Jc,https://drive.google.com/file/d/1FnftwssvJBwXu9XNFnKnoKMj296a-w9r/view?usp=drive_link,2025-06-24T13:55:20.000Z,https://www.skool.com/ai-automation-society/new-video-i-built-a-yt-strategist-ai-agent-that-makes-me-6kmo,Ch-AWxvX2Jc
Viral ASMR Shorts,This AI System Posts Viral ASMR Shorts Hourly (free template),"A fully automated system using n8n integrates Google V3’s text-to-video AI to generate ASMR glass-cutting fruit videos. It employs an idea agent with a structured output parser to select unique subjects and a prompt agent to create cinematic, detailed video prompts. The workflow leverages foul API for video generation, Google Sheets for rotating recent items, and Botato for auto-posting on YouTube, Instagram, and TikTok. Created by Nate Herk, the free template is available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=RvuPRX-b7Lc,https://drive.google.com/file/d/1iyeZv71q308XlZXzxIKyNvnAd_CKoO9I/view?usp=drive_link,2025-06-22T13:52:16.000Z,https://www.skool.com/ai-automation-society/new-video-this-ai-system-posts-viral-asmr-shorts-hourly-free-template,RvuPRX-b7Lc
Client Onboarding System,I Built an AI System that Onboards Clients in 30 Seconds (Free n8n Template),"This system automates new client onboarding via a form-triggered workflow. It creates client folders in Google Drive, sets up project lists and tasks in ClickUp, and configures a dedicated Slack channel with personalized welcome messages. An AI agent parses proposal and scoping documents to extract actionable tasks with due dates. The integration leverages APIs for Google Drive, ClickUp, Slack, and Gmail. Creator: Nolan Harper.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=gXKzEt1ZG38,https://drive.google.com/file/d/1jGUC5vcD2W0cOhtIfDwLGdMtMw4OuROY/view?usp=drive_link,2025-06-21T17:07:33.000Z,https://www.skool.com/ai-automation-vault/classroom/69b7bb57?md=5538a9df70084be1a59177e684e448a9,gXKzEt1ZG38
